SMILES,CLUSTER
CN(C)c1ccc(C=NNC(=O)c2ccc(O)c(O)c2)c2ccccc12,1.1.1
O=C(NN=Cc1ccc(-c2ccccc2Cl)o1)c1cc2ccccc2cc1O,1.1.5
CSC(S)=NN=C(C)c1cccc(Br)c1,1.1.1
CC(=NN=C(N)S)c1cccc(Oc2ccccc2)c1,1.1.1
CC(=NN=C(N)S)c1ccc(Oc2ccccc2)cc1,1.1.1
CC(=NN=C(N)S)c1ccc(Nc2ccccc2)cc1,1.1.1
CC(=NNC(N)=S)c1ccccn1,3.0
CC(=NN=C(N)S)c1cccc(Nc2ccccc2)c1,1.1.1
CC(C)(C)C(=NN=C(N)S)c1ccc(Cl)c(Cl)c1,1.1.4
CCC(=NNC(N)=S)c1cccc(O)c1,3.0
NC(=S)NN=C1CCc2ccccc21,3.0
NC(=S)NN=C1CCc2ccccc2O1,3.0
CC(=NNC(N)=S)C1=CCCc2ccccc21,3.0
NC(=S)NN=C1CCS(=O)(=O)c2ccccc21,3.0
NC(=S)NN=C1CCOc2ccccc21,3.0
O=S(=O)(C=Cc1ccc2c(c1)no[n+]2[O-])c1ccccc1,1.1.2
CC(C)(C)OC(=O)NCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,1.1.7
NC(Cc1cc(-c2ccc(Cl)cc2Cl)cc(CP(=O)(O)O)c1O)C(=O)O,1.1.4
O=C(O)c1ccc2c(c1)C(=O)N(C(Cc1ccc(O)cc1)C(=O)O)C2=O,1.2
O=C(CC1(O)C(=O)Nc2cc(Cl)cc(Cl)c21)c1ccccc1O,1.2
CCCC12CN(C(=O)c3ccc(OC)cc3)CC(C)(CN(C(=O)c3ccc(OC)cc3)C1)C2=O,1.1.1
S=C(S)OC1CC2CC1C1CCCC21,3.0
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,1.1.6
O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,1.1.1
CC1C2C=CC1C(c1c3ccc(=O)c(O)c-3oc3c(O)c(O)ccc13)C2C(=O)O,1.1.2
O=C1C=CC2=C(Oc3c(ccc(O)c3O)C2=CC=C(O)O)C1=O,1.1.1
Cc1occc1C(=O)n1nnc2ccccc21,1.1.2
CCOC(=O)C(C(C)=O)=C1OC(=O)c2ccccc21,1.2
CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,1.1.7
O=C(Oc1cccnc1)c1cc2ccccc2oc1=O,1.1.2
COc1cccc2cc(C(=O)n3ccc(C)n3)c(=O)oc12,1.1.2
[O-][n+]1onc2ccc(C=NNC(=S)Nc3ccccc3)cc21,3.0
[O-][n+]1onc2ccc(C=NN=Cc3ccc(O)c(Br)c3)cc21,1.1.2
[O-][n+]1onc2ccc(C=NN=Cc3ccc(O)cc3)cc21,1.1.2
[O-][n+]1onc2ccc(C=NN=Cc3ccccc3O)cc21,1.1.2
