SMILES,CLUSTER
N#Cc1nc(NCCCCO)nc(Nc2ccccc2)n1,1.1.2
CNc1nc(C#N)nc(Nc2ccccc2)n1,1.1.2
N#Cc1nc(Nc2ccccc2)nc(NC2CCCCC2)n1,3.0
N#Cc1nc(NCCO)nc(Nc2ccccc2)n1,1.1.2
N#Cc1nc(Nc2cccc([N+](=O)[O-])c2)nc(NC2CCCC2)n1,1.2
N#Cc1nc(Nc2cccc(F)c2)nc(NC2CCCC2)n1,1.2
N#Cc1nc(Nc2cccc(Cl)c2)nc(NC2CCCC2)n1,1.2
N#Cc1nc(Nc2cccc(Br)c2)nc(NC2CCCC2)n1,1.2
N#Cc1nc(Nc2ccc(F)cc2)nc(NC2CCCC2)n1,1.2
Cc1cccc(Nc2nc(C#N)nc(NC3CCCC3)n2)c1,1.2
N#Cc1nc(Nc2ccc(Br)cc2)nc(NC2CCCC2)n1,1.2
N#Cc1nc(Nc2cccc(-c3ccccc3)c2)nc(NC2CCCC2)n1,1.2
N#Cc1nc(Nc2cc(F)cc(F)c2)nc(NC2CCCC2)n1,1.2
N#Cc1nc(Nc2cc(Cl)cc(Cl)c2)nc(NC2CCCC2)n1,1.2
N#Cc1nc(NCC(F)F)nc(Nc2cc(F)cc(F)c2)n1,1.1.2
CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(C#N)nc21,2.0
N#Cc1nc(Nc2cc(F)cc(F)c2)c2ncn(CC(F)F)c2n1,2.0
N#Cc1nc(Nc2cc(F)cc(F)c2)c2ncn(C3CCCC3)c2n1,2.0
CCn1cnc2c(Nc3cccc(Cl)c3)nc(C#N)nc21,2.0
N#Cc1nc(Nc2cccc(Cl)c2)c2ncn(C3CCCC3)c2n1,2.0
N#Cc1nc(NCC(F)F)c2ncn(-c3cc(F)cc(F)c3)c2n1,2.0
CCNc1nc(C#N)nc2c1ncn2-c1cccc(Cl)c1,2.0
N#Cc1nc(NCC(F)F)c2ncn(-c3cccc(Cl)c3)c2n1,2.0
CCNc1nc(C#N)nc2c1ncn2-c1cc(F)cc(F)c1,2.0
N#Cc1nc(NC2CCCC2)c2ncn(-c3cc(F)cc(F)c3)c2n1,2.0
CCOc1nc(C#N)nc(N2CCCCC2)n1,3.0
N#Cc1nc(N)nc(N(c2ccccc2)c2ccccc2)n1,1.1.2
N#Cc1nc(Nc2cccc(C(F)(F)F)c2)nc(NC2CCCC2)n1,1.2
Cc1nc(-c2cccnc2)sc1C(=O)NC(C=CS(=O)(=O)c1ccccc1)CCc1ccccc1,1.1.2
Cc1nc(-c2cnccn2)sc1C(=O)NC(C=CS(=O)(=O)c1ccccc1)CCc1ccccc1,1.1.2
O=C(NC(C=CS(=O)(=O)c1ccccc1)CCc1ccccc1)c1cc(-c2ccccc2)no1,1.1.1
O=C(NC(C=CS(=O)(=O)c1ccccc1)CCc1ccccc1)c1cc(-c2cccnc2)no1,1.1.2
Cc1cc(C(=O)NCC(=O)OC(C(=O)Nc2cc(C(F)(F)F)ccc2Cl)c2ccccc2)ccc1[N+](=O)[O-],1.1.4
COc1ccc(Cl)cc1NC(=O)COC(=O)C(CC(C)C)N1C(=O)C2CC=CCC2C1=O,4.0
Cc1ccccc1OCC(=O)NCC(=O)OCC(=O)c1ccc2ccccc2c1,1.1.1
O=C(CNC(=O)c1ccc(Cl)cc1)OCC(=O)c1ccc2c(c1)OCCO2,3.0
O=C(CNC(=O)c1ccccc1)OC(C(=O)Nc1cc(C(F)(F)F)ccc1Cl)c1ccccc1,1.1.4
Cc1cc(NC(=O)COC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)c2ccc(F)cc2)no1,2.0
